step_number,stage_name,module_or_script,command_to_run,required_inputs,expected_outputs,expected_key_metrics_or_classification,can_skip_if_artifact_exists,validation_command,notes
1,Root BTCUSDT public archive,main_download.py,python main_download.py --symbol BTCUSDT --interval 1m --start-date 2018-01-01 --end-date 2026-06-13,public Binance klines only,data_storage/BTCUSDT/1m/BTCUSDT_1m_2018-01-01_to_2026-06-13.csv,historical 1m archive recreated,True,python -m unittest structural_compounding_lab.tests.test_fresh_btcusdt_data_updater -v,Do this before structural updater because the updater is not a from-zero bootstrapper.
2,Trusted 1H baseline and execution-cost court,structural_compounding_lab.diagnostics.execution_cost_realism_and_trade_redundancy_audit,python -m structural_compounding_lab.diagnostics.execution_cost_realism_and_trade_redundancy_audit,trusted BTC structural replay lineage,structural_compounding_lab/output/execution_cost_realism_and_trade_redundancy_audit_001/,baseline average 792824.56; median 786049.45; 1M-hit windows 12,True,Inspect diagnostics/execution_cost_band_results.csv row NORMAL_MIXED_MAKER_TAKER_COST,This is the baseline anchor for later courts.
3,12H native execution rejection court,structural_compounding_lab.diagnostics.native_12h_execution_sleeve_discovery_audit,python -m structural_compounding_lab.diagnostics.native_12h_execution_sleeve_discovery_audit,trusted baseline outputs,structural_compounding_lab/output/native_12h_execution_sleeve_discovery_audit_001/,NATIVE_12H_EXECUTION_REJECTED with repaired baseline reconciliation pass,True,Read native_12h_execution_sleeve_discovery_summary.json,Confirms 12H execution retired and baseline accounting repaired.
4,1H + 6H context role reconciliation,structural_compounding_lab.diagnostics.htf_context_role_reconciliation_audit,python -m structural_compounding_lab.diagnostics.htf_context_role_reconciliation_audit,trusted baseline and repaired 12H context,structural_compounding_lab/output/htf_context_role_reconciliation_audit_001/,SIX_H_CONTEXT_IMPROVES_1H_RESEARCH_ONLY; LIGHT_BOOST_6H_CONFLUENCE,True,Read htf_context_role_reconciliation_summary.json,This is the accepted research-only 6H context court.
5,Earned gear discovery,structural_compounding_lab.diagnostics.earned_gear_activation_discovery_audit,python -m structural_compounding_lab.diagnostics.earned_gear_activation_discovery_audit,trusted baseline plus prior gear context,structural_compounding_lab/output/earned_gear_activation_discovery_audit_001/,EARNED_GEAR_DISCOVERY_IMPROVES_BUT_FRAGILE,True,Read earned_gear_activation_discovery_summary.json,"Aggressive gear remains research-only comparison, not deployable logic."
6,6H native execution scout court,structural_compounding_lab.diagnostics.six_hour_native_execution_tide_context_audit,python -m structural_compounding_lab.diagnostics.six_hour_native_execution_tide_context_audit,"trusted baseline, 6H context court, repaired 12H court",structural_compounding_lab/output/six_hour_native_execution_tide_context_audit_001/,SIX_H_NATIVE_EXECUTION_WEAK,True,Read six_hour_native_execution_tide_context_summary.json,Confirms 6H execution scout did not beat the trusted 1H engine.
7,Shadow-forward validation specification,structural_compounding_lab.diagnostics.shadow_forward_validation_spec_audit,python -m structural_compounding_lab.diagnostics.shadow_forward_validation_spec_audit,"trusted 1H baseline, 6H context, 6H execution rejection",structural_compounding_lab/output/shadow_forward_validation_spec_audit_001/,SHADOW_SPEC_READY_WITH_6H_CONTEXT_RESEARCH_ONLY,True,Read shadow_forward_validation_spec_summary.json,Defines the forward court before any paper discussion.
8,Shadow observer,structural_compounding_lab.shadow_forward.shadow_forward_observer,python -m structural_compounding_lab.shadow_forward.shadow_forward_observer --mode dry_run_backfill --source-csv data_storage/BTCUSDT/1m/BTCUSDT_1m_2025-12-13_to_2026-06-13.csv,source BTC 1m CSV and prior spec artifacts,structural_compounding_lab/output/shadow_forward_observer_001/,SHADOW_OBSERVER_READY_RESEARCH_ONLY,True,Read shadow_forward_observer_summary.json,Use the 6m root archive slice rebuilt from public BTC data as the observer source on Mac.
9,Watchtower append-only observation,structural_compounding_lab.shadow_forward.shadow_forward_watchtower,python -m structural_compounding_lab.shadow_forward.shadow_forward_watchtower --mode single_cycle --source-csv data_storage/BTCUSDT/1m/BTCUSDT_1m_2018-01-01_to_2026-06-13.csv,observer artifacts and BTC archive,structural_compounding_lab/output/shadow_forward_watchtower_001/,WATCHTOWER_READY_BUT_WAITING_FOR_FORWARD_DAYS,True,python -m unittest structural_compounding_lab.tests.test_shadow_forward_watchtower -v,Append-only forward court; no orders allowed.
10,Fresh BTC updater,structural_compounding_lab.shadow_forward.fresh_btcusdt_data_updater,python -m structural_compounding_lab.shadow_forward.fresh_btcusdt_data_updater --mode update_and_catchup,canonical shadow-forward tape or root BTC archive,structural_compounding_lab/output/fresh_btcusdt_data_updater_001/,FRESH_DATA_READY_NO_NEW_ROWS or clean append state,True,python -m unittest structural_compounding_lab.tests.test_fresh_btcusdt_data_updater -v,Public klines only; no broker endpoint.
11,Pilot automation,structural_compounding_lab.shadow_forward.shadow_forward_pilot_automation,python -m structural_compounding_lab.shadow_forward.shadow_forward_pilot_automation --mode self_check && python -m structural_compounding_lab.shadow_forward.shadow_forward_pilot_automation --mode daily_status,watchtower and fresh updater artifacts,structural_compounding_lab/output/shadow_forward_pilot_automation_001/,AUTOMATION_READY_FOR_MANUAL_APPROVAL,True,python -m unittest structural_compounding_lab.tests.test_shadow_forward_pilot_automation -v,Scheduler install remains optional and should stay manual.
