step_number,stage_name,command_run,success,output_folder,final_classification,key_metrics,matched_expected_target,notes
1,Root BTCUSDT public archive,"BINANCE_API_KEY='' BINANCE_API_SECRET='' .venv311/bin/python main_download.py --symbol BTCUSDT --interval 1m --start-date 2018-01-01 --end-date 2026-06-13",true,data_storage/BTCUSDT/1m/,HISTORICAL_1M_ARCHIVE_RECREATED,"rows=4434313; first=2018-01-01T00:00:00; last=2026-06-13T00:00:00; duplicates_removed=0",true,Public Binance klines only; checkpointed rebuild completed.
P1,Six-month structural root ledger,".venv311/bin/python -m structural_compounding_lab.backtest.run_structural_backtest --symbol BTCUSDT --source-csv /Users/mac/Documents/Retail-Trading-System/data_storage/BTCUSDT/1m/BTCUSDT_1m_2025-12-13_to_2026-06-13.csv",true,structural_compounding_lab/output/,RESEARCH_LEDGER_REBUILT,"trades=336; ending_equity=16054.30",n/a,Required to reconstruct the frozen-rule discovery lineage.
P2,Broad historical structural replay,.venv311/bin/python -m structural_compounding_lab.diagnostics.broad_historical_structural_replay,true,structural_compounding_lab/output/broad_historical_structural_replay_001/,COMPLETE,"trades=5649; long=2338; short=3311; years=2018-2026",true,Full unchanged native replay completed in approximately 6h24m.
P3,Frozen patch discovery courts,"five_year_compounding_audit; long_short_edge_repair_audit; long_damage_control_patch_audit; frozen_patch_validation_audit",true,structural_compounding_lab/output/frozen_patch_validation_audit_001/,PROMISING_NEEDS_WALK_FORWARD,"frozen candidate=BAD_LONGS_DISABLED_ONLY_PROVEN_SHORTS_KEPT",partial,Original ignored Windows discovery ledger was unavailable; exact frozen short bucket recovered from seven regression fixtures without retuning.
P4,Broad frozen patch validation,.venv311/bin/python -m structural_compounding_lab.diagnostics.broad_frozen_patch_validation,true,structural_compounding_lab/output/broad_frozen_patch_validation_001/,PATCH_IMPROVES_AND_REQUIRES_REPAIR,"patched_equity=102908272.68; kept_trades=604",true,Frozen rule applied unchanged to broad history.
P5,Broad patch bluntness audit,.venv311/bin/python -m structural_compounding_lab.diagnostics.broad_patch_bluntness_audit,true,structural_compounding_lab/output/broad_patch_bluntness_audit_001/,PATCH_ACCOUNTING_NEEDS_RECONCILIATION,"removed_winners=1823; removed_losers=3100",true,Prerequisite omitted from migration CSV.
P6,Broad accounting and short rescue,.venv311/bin/python -m structural_compounding_lab.diagnostics.broad_patch_accounting_and_short_rescue_audit,true,structural_compounding_lab/output/broad_patch_accounting_and_short_rescue_audit_001/,SHORT_RESCUE_PROMISING_RESEARCH_ONLY,"best_reconciled_equity=2711458.71",true,Native-style accounting court restored.
P7,Rolling five-year mission viability,.venv311/bin/python -m structural_compounding_lab.diagnostics.rolling_five_year_mission_viability_audit,true,structural_compounding_lab/output/rolling_five_year_mission_viability_audit_001/,FIVE_YEAR_1M_MISSION_PROMISING_RESEARCH_ONLY,"rolling_windows=43; median_realistic=312776.87",true,Five-year court restored.
P8,Equal-highs forensic rescue,.venv311/bin/python -m structural_compounding_lab.diagnostics.equal_highs_liquidity_sweep_rescue_forensic_audit,true,structural_compounding_lab/output/equal_highs_liquidity_sweep_rescue_forensic_audit_001/,RESCUE_WEAK_UNSTABLE,"forensic_average=298237.82; 1M_hits=0",true,Optimistic rescue collapsed under forensic treatment as expected.
P9,Support-room repair,.venv311/bin/python -m structural_compounding_lab.diagnostics.support_room_short_rescue_repair_audit,true,structural_compounding_lab/output/support_room_short_rescue_repair_audit_001/,SUPPORT_ROOM_REPAIR_IMPROVES_BUT_NOT_MISSION_MOVING,"best_average=488601.28; 1M_hits=0",true,Research-only feature court restored.
P10,Native pre-entry SR enrichment,.venv311/bin/python -m structural_compounding_lab.diagnostics.native_pre_entry_sr_feature_enrichment_audit,true,structural_compounding_lab/output/native_pre_entry_sr_feature_enrichment_audit_001/,SR_ENRICHMENT_IMPROVES_BUT_NOT_MISSION_MOVING,"best_average=543144.31; 1M_hits=0",true,Native pre-entry enrichment restored.
P11,Native SR-aware replay,.venv311/bin/python -m structural_compounding_lab.diagnostics.native_sr_aware_structural_replay_reproduction_audit,true,structural_compounding_lab/output/native_sr_aware_structural_replay_reproduction_audit_001/,NATIVE_SR_REPLAY_WEAK,"strict_average=505632.58; strict_median=499590.19; 1M_hits=0",true,Matches README research stage.
P12,Native strict stress and Monte Carlo,.venv311/bin/python -m structural_compounding_lab.diagnostics.native_sr_aware_strict_stress_monte_carlo_audit,true,structural_compounding_lab/output/native_sr_aware_strict_stress_monte_carlo_audit_001/,PROMISING_BUT_NOT_MISSION_MOVING,"full_equity=3303577.61; rolling_average=505632.58; MC_paths=5000",true,Strict variant remains research-only.
