path,tracked_by_git,untracked,ignored_by_git,gitignore_rule_if_ignored,file_size_mb,file_type,purpose,project_role_classification,required_on_mac,can_regenerate,can_redownload,recommended_action,reason,rebuild_command_or_notes
structural_compounding_lab/shadow_forward,False,False,False,,0.0,directory,research-only shadow-forward runtime and automation,ACTIVE_SHADOW_VALIDATION,True,False,False,COMMIT_NORMAL,"source, docs, tests, or small research config",
structural_compounding_lab/config,False,False,False,,0.0,directory,structural lab configuration,ACTIVE_CURRENT_EDGE,True,False,False,COMMIT_NORMAL,"source, docs, tests, or small research config",
structural_compounding_lab/docs,False,False,False,,0.0,directory,structural lab runbook and operator docs,ACTIVE_CURRENT_EDGE,True,False,False,COMMIT_NORMAL,"source, docs, tests, or small research config",
structural_compounding_lab/tests,False,False,False,,0.0,directory,structural lab regression coverage,ACTIVE_CURRENT_EDGE,True,False,False,COMMIT_NORMAL,"source, docs, tests, or small research config",
scripts,False,False,False,,0.0,directory,operator helper scripts,REUSABLE_UTILITY,True,False,False,COMMIT_NORMAL,operator helpers belong in the migration commit,
structural_compounding_lab/output,False,False,False,,0.0,directory,generated research or shadow artifacts,CACHE_OR_BUILD_ARTIFACT,False,True,False,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated output artifacts should be rebuilt or summarized on Mac,
structural_compounding_lab/data_storage,False,False,True,.gitignore:9:data_storage/	structural_compounding_lab/data_storage,0.0,directory,canonical structural lab local data,CACHE_OR_BUILD_ARTIFACT,True,True,False,REVIEW_MANUALLY,"contains canonical tape plus backups; keep canonical if explicitly approved, rebuild otherwise",python -m structural_compounding_lab.shadow_forward.fresh_btcusdt_data_updater --mode update_and_catchup
data_storage,False,False,True,.gitignore:9:data_storage/	data_storage,0.0,directory,root historical market data archive,CACHE_OR_BUILD_ARTIFACT,True,True,False,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC,large root market archive can be recreated from public klines,python main_download.py --symbol BTCUSDT --interval 1m --start-date 2018-01-01 --end-date 2026-06-13
.env.example,True,False,False,,0.0001,example,safe example environment template,REUSABLE_UTILITY,True,False,False,COMMIT_NORMAL,safe example environment file,
.env.template,False,False,True,.gitignore:3:.env.template	.env.template,0.0002,template,environment or secret material,SECRET_OR_DO_NOT_COMMIT,False,False,False,DO_NOT_COMMIT_SECRET,contains environment or secret material,
config/structural_compounding_lab_project.json,True,False,False,,0.0003,config_or_artifact,project asset,REVIEW_MANUALLY,True,False,False,COMMIT_NORMAL,"source, docs, tests, or small research config",
dashboard,False,False,False,,0.0,directory,cockpit frontend/backend surface,REUSABLE_FRONTEND_OR_UI,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
dashboard_api,False,False,False,,0.0,directory,cockpit frontend/backend surface,REUSABLE_FRONTEND_OR_UI,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
common,False,False,False,,0.0,directory,shared runtime and utility code,REUSABLE_UTILITY,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
backtest,False,False,False,,0.0,directory,retail trading system historical engine and diagnostics,ARCHIVED_BUT_PRESERVE,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
capital,False,False,False,,0.0,directory,capital-routing research and allocator scaffolding,ARCHIVED_BUT_PRESERVE,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
entry,False,False,False,,0.0,directory,project asset,ARCHIVED_BUT_PRESERVE,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
exit,False,False,False,,0.0,directory,project asset,ARCHIVED_BUT_PRESERVE,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
features,False,False,False,,0.0,directory,project asset,ARCHIVED_BUT_PRESERVE,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
position,False,False,False,,0.0,directory,project asset,ARCHIVED_BUT_PRESERVE,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
pyramiding,False,False,False,,0.0,directory,project asset,ARCHIVED_BUT_PRESERVE,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
regime,False,False,False,,0.0,directory,project asset,ARCHIVED_BUT_PRESERVE,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
simulation,False,False,False,,0.0,directory,project asset,ARCHIVED_BUT_PRESERVE,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
sniffing,False,False,False,,0.0,directory,project asset,ARCHIVED_BUT_PRESERVE,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
tests,False,False,False,,0.0,directory,project asset,REVIEW_MANUALLY,True,False,False,REVIEW_MANUALLY,worktree contains mixed legacy and exploratory files,
